wave,scenario_id,exam_type,status,first_token_ms,total_ms,wall_ms,input_tokens,output_tokens,cost_usd,request_id,error
api,carotid_unilateral_tight,carotid,success,4794,7812,7889,2771,494,0.00936375,msg_01RYtoMKt9Xi5rPTgJvrAYDc,
sdk,carotid_unilateral_tight,carotid,success,21843,25312,26179,13580,1676,0.07680875,4ec1e785-16c8-4c3a-9f03-8361dd6538d0,
managed,carotid_unilateral_tight,carotid,success,15304,15313,15397,3072,482,0.01874775,sesn_011CaZEVrR3M8BHHH7SCPBmD,
api,lower_arterial_clti,lower_arterial,success,32258,38998,39079,2812,2464,0.0387945,msg_01E9HeUy18gYLf6NpZkRmzGJ,
sdk,lower_arterial_clti,lower_arterial,success,87577,90650,91649,13621,6164,0.10314929999999999,6f4fa4d9-a5fb-44f3-944c-3b369f223dfc,
managed,lower_arterial_clti,lower_arterial,success,34964,34966,35043,3113,1734,0.02814225,sesn_011CaZEgeyWiZcZuru8XKqRY,
api,venous_reflux_bilateral_gsv,venous_reflux,success,10982,16370,16447,2826,1708,0.0274965,msg_01WbYuqky6zKQSkePPFJWVyR,
sdk,venous_reflux_bilateral_gsv,venous_reflux,success,20271,26569,27481,13635,2264,0.0447058,7bd21478-275d-47d8-ba58-89e3127fce89,
managed,venous_reflux_bilateral_gsv,venous_reflux,success,24856,24864,24941,3127,1782,0.02891475,sesn_011CaZEnW6dqN7TjKnGYcYFC,
api,aaa_surveillance,aorta,success,6228,8295,8374,2711,599,0.0105165,msg_017D4KiWjpVjWxxipvBrtgTg,
sdk,aaa_surveillance,aorta,success,20962,23665,24584,13520,1573,0.033824549999999995,0d511c86-fe46-4b50-b5a1-1e88dab2ae2d,
managed,aaa_surveillance,aorta,success,15008,15428,15507,3012,674,0.0118635,sesn_011CaZEro7BkraT2jwPtVwG6,
api,avf_dysfunction,avf,success,18252,21443,21518,2754,1562,0.025090499999999998,msg_01RZ6VFbdQdYhdiAQNG5oLok,
sdk,avf_dysfunction,avf,success,26409,29749,30620,13563,1911,0.0390738,d6ae8215-8e28-43da-abe4-cd72c8bb51b9,
managed,avf_dysfunction,avf,success,20171,20607,20680,3055,1019,0.01719975,sesn_011CaZEwpF38go22YHaFbRgR,
